CQD1,CQD2,CQD3,CQD4,CQD5,CQD6,CQD7,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Batch,Operator,Concentration
950.6356812,945.6659546,946.8589478,952.4797974,947.4017334,945.5282593,947.835022,865.34375,871.0222168,868.65802,873.307312,872.572876,872.416626,873.9743042,B,Operator 1,1pM Pb
925.734375,925.6246338,926.9677734,933.2992554,927.1764526,929.3123169,930.2975464,849.6672974,848.5236206,849.8903809,853.8547974,853.7043457,855.2851563,855.7260132,B,Operator 1,1pM Pb
937.5767212,936.934021,942.2503052,941.1590576,942.7750244,937.5256958,944.409729,857.2526245,861.901062,863.4259644,866.098938,869.2407227,866.8178101,869.4867554,B,Operator 1,1pM Pb
955.6233521,952.7096558,953.5363159,957.6992188,954.0183716,956.741333,956.5820313,872.0438232,879.5948486,874.4541626,876.3380127,878.1361694,880.3654785,880.8804932,B,Operator 1,1pM Pb
946.2412109,942.9316406,943.5668945,944.8797607,946.3258667,947.1691284,942.9210205,865.0656738,864.4699097,864.8248291,866.4337769,868.0713501,867.1531982,868.9625854,B,Operator 1,1pM Pb
904.2677002,902.9804077,905.8652344,909.164917,905.1008301,902.6447144,905.4824829,824.8700562,829.6305542,825.4494629,830.7279663,834.6055298,839.3091431,831.2249756,B,Operator 1,1pM Pb
956.8272095,953.8932495,952.8776245,952.5431519,956.4467773,952.4475098,960.2701416,876.6925659,875.5131836,873.6392212,880.7019653,877.1774902,880.3682861,879.1999512,B,Operator 1,1pM Pb
956.9158325,950.8908691,951.0761719,953.1817017,951.2345581,953.1497803,954.1109619,870.6141357,872.9992676,877.0980835,874.4264526,873.644043,877.6668091,879.7251587,B,Operator 1,1pM Pb
932.5186768,933.75,937.7368774,933.6359863,937.6824951,937.7678833,934.6807251,854.1936035,856.2852173,853.7077637,851.9573364,858.0213623,859.0093994,864.022583,B,Operator 1,1pM Pb
955.0613403,951.901123,956.9815674,961.0029297,952.9126587,954.8299561,953.3240967,874.2000732,872.2914429,874.5165405,875.6481323,877.5975952,872.8322754,876.3496094,B,Operator 1,1pM Pb
947.9914551,956.4888306,954.8309326,961.0612793,951.8044434,960.3840942,952.0167236,871.4661865,871.6715698,875.8267212,877.4285889,877.6804199,878.2385864,881.9379883,B,Operator 1,1pM Pb
893.0883179,893.3464966,897.4282837,895.6603394,893.2759399,898.6002197,895.1184692,820.1657715,818.4508057,814.2351074,819.8731079,823.0637817,822.6729126,822.7947998,B,Operator 1,1pM Pb
932.5366211,933.817627,937.3892212,937.3687134,941.8894653,935.2139893,933.8464966,852.086792,856.081604,853.3268433,856.5657349,860.328064,859.0878906,863.7952881,B,Operator 1,1pM Pb
950.1899414,947.6395874,949.3414307,946.4033203,946.4981079,946.8610229,948.5528564,866.5465088,867.9924927,865.0496216,869.947998,873.177124,871.7564087,872.253418,B,Operator 1,1pM Pb
954.0878296,954.3984375,950.5251465,950.6420288,955.7609863,951.6002808,954.3599243,866.7953491,870.4632568,874.7924805,875.3146973,874.6229858,882.2169189,880.3184204,B,Operator 1,1pM Pb
916.9188232,913.3450317,909.4007568,914.5887451,915.4907227,915.4925537,914.715332,825.9315186,831.4298706,832.3377075,838.6379395,840.6088867,844.7591553,842.3203125,B,Operator 1,1pM Pb
942.77771,939.2080688,939.8329468,947.0585327,944.9284058,946.6402588,947.9579468,864.4821167,861.1206665,863.7664185,868.8134766,871.7214355,868.6026611,871.661499,B,Operator 1,1pM Pb
960.8897095,958.1962891,958.7903442,956.8330688,958.3469238,954.2231445,954.5560303,877.7402344,879.708374,872.5802002,874.0648193,879.5917358,881.3260498,879.4042969,B,Operator 1,1pM Pb
875.1177368,868.1787109,875.072876,876.4633789,871.0079956,870.2932739,872.21521,795.7373657,797.7128906,794.1293945,799.4000244,804.9776001,803.1525879,804.6114502,B,Operator 1,1pM Pb
952.8989258,947.5571899,948.2163696,957.241333,952.9795532,951.4190674,951.3625488,872.3441772,867.4049072,870.7497559,872.6136475,874.4021606,878.6170654,873.1884766,B,Operator 1,1pM Pb
