,Run1_1pM Pb_E1,Run2_1pM Pb_E1,Run3_1pM Pb_E1,Run4_1pM Pb_E1,Run5_1pM Pb_E1,Run6_1pM Pb_E1,Run7_1pM Pb_E1,CQD1_1pM Pb_E1,CQD2_1pM Pb_E1,CQD3_1pM Pb_E1,CQD4_1pM Pb_E1,CQD5_1pM Pb_E1,CQD6_1pM Pb_E1,CQD7_1pM Pb_E1,Run1_5pM Pb_E1,Run2_5pM Pb_E1,Run3_5pM Pb_E1,Run4_5pM Pb_E1,Run5_5pM Pb_E1,Run6_5pM Pb_E1,Run7_5pM Pb_E1,CQD1_5pM Pb_E1,CQD2_5pM Pb_E1,CQD3_5pM Pb_E1,CQD4_5pM Pb_E1,CQD5_5pM Pb_E1,CQD6_5pM Pb_E1,CQD7_5pM Pb_E1,Run1_1pM Pb_E2,Run2_1pM Pb_E2,Run3_1pM Pb_E2,Run4_1pM Pb_E2,Run5_1pM Pb_E2,Run6_1pM Pb_E2,Run7_1pM Pb_E2,CQD1_1pM Pb_E2,CQD2_1pM Pb_E2,CQD3_1pM Pb_E2,CQD4_1pM Pb_E2,CQD5_1pM Pb_E2,CQD6_1pM Pb_E2,CQD7_1pM Pb_E2,Run1_5pM Pb_E2,Run2_5pM Pb_E2,Run3_5pM Pb_E2,Run4_5pM Pb_E2,Run5_5pM Pb_E2,Run6_5pM Pb_E2,Run7_5pM Pb_E2,CQD1_5pM Pb_E2,CQD2_5pM Pb_E2,CQD3_5pM Pb_E2,CQD4_5pM Pb_E2,CQD5_5pM Pb_E2,CQD6_5pM Pb_E2,CQD7_5pM Pb_E2,Run1_1pM Pb_E3,Run2_1pM Pb_E3,Run3_1pM Pb_E3,Run4_1pM Pb_E3,Run5_1pM Pb_E3,Run6_1pM Pb_E3,Run7_1pM Pb_E3,CQD1_1pM Pb_E3,CQD2_1pM Pb_E3,CQD3_1pM Pb_E3,CQD4_1pM Pb_E3,CQD5_1pM Pb_E3,CQD6_1pM Pb_E3,CQD7_1pM Pb_E3,Run1_5pM Pb_E3,Run2_5pM Pb_E3,Run3_5pM Pb_E3,Run4_5pM Pb_E3,Run5_5pM Pb_E3,Run6_5pM Pb_E3,Run7_5pM Pb_E3,CQD1_5pM Pb_E3,CQD2_5pM Pb_E3,CQD3_5pM Pb_E3,CQD4_5pM Pb_E3,CQD5_5pM Pb_E3,CQD6_5pM Pb_E3,CQD7_5pM Pb_E3,Run1_1pM Pb_E4,Run2_1pM Pb_E4,Run3_1pM Pb_E4,Run4_1pM Pb_E4,Run5_1pM Pb_E4,Run6_1pM Pb_E4,Run7_1pM Pb_E4,CQD1_1pM Pb_E4,CQD2_1pM Pb_E4,CQD3_1pM Pb_E4,CQD4_1pM Pb_E4,CQD5_1pM Pb_E4,CQD6_1pM Pb_E4,CQD7_1pM Pb_E4,Run1_5pM Pb_E4,Run2_5pM Pb_E4,Run3_5pM Pb_E4,Run4_5pM Pb_E4,Run5_5pM Pb_E4,Run6_5pM Pb_E4,Run7_5pM Pb_E4,CQD1_5pM Pb_E4,CQD2_5pM Pb_E4,CQD3_5pM Pb_E4,CQD4_5pM Pb_E4,CQD5_5pM Pb_E4,CQD6_5pM Pb_E4,CQD7_5pM Pb_E4,Run1_1pM Pb_E5,Run2_1pM Pb_E5,Run3_1pM Pb_E5,Run4_1pM Pb_E5,Run5_1pM Pb_E5,Run6_1pM Pb_E5,Run7_1pM Pb_E5,CQD1_1pM Pb_E5,CQD2_1pM Pb_E5,CQD3_1pM Pb_E5,CQD4_1pM Pb_E5,CQD5_1pM Pb_E5,CQD6_1pM Pb_E5,CQD7_1pM Pb_E5,Run1_5pM Pb_E5,Run2_5pM Pb_E5,Run3_5pM Pb_E5,Run4_5pM Pb_E5,Run5_5pM Pb_E5,Run6_5pM Pb_E5,Run7_5pM Pb_E5,CQD1_5pM Pb_E5,CQD2_5pM Pb_E5,CQD3_5pM Pb_E5,CQD4_5pM Pb_E5,CQD5_5pM Pb_E5,CQD6_5pM Pb_E5,CQD7_5pM Pb_E5
86,891.5405884,889.7943726,886.5993652,891.0860596,890.1196899,892.9882202,893.3366089,978.0602417,980.3511963,978.1066895,980.0480347,978.5239868,976.2967529,981.5961304,887.1381836,887.5337524,880.0571289,879.6977539,885.8960571,894.845459,889.5247803,969.053772,970.1559448,970.9724731,965.0150146,972.2747192,967.6678467,964.7941284,899.2178955,891.2212524,896.6036987,893.9938965,895.6726074,898.1954346,895.0761719,981.5824585,980.5231323,978.7667236,981.6385498,981.0697632,984.1624146,979.2009888,897.8093262,893.2565308,894.6640625,893.3182373,893.2642822,886.4684448,893.0535278,975.7259521,979.2719727,978.7313843,980.1912842,978.4845581,978.6373901,982.7650146,903.1461792,898.4450073,895.9609985,898.2764893,895.1478882,895.8710938,894.0400391,980.8668213,985.1168823,984.8574829,983.4855347,979.6601563,983.6936035,980.4515381,875.3770752,869.9630737,868.1704102,870.4866943,872.9333496,870.3459473,865.2852783,950.6206055,951.8792114,950.4522095,954.6888428,952.9991455,953.5604248,957.4193115,886.9620361,889.0534668,887.1888428,885.9301758,886.7091064,886.1355591,888.2689819,967.3550415,965.3291626,964.5137329,968.8225098,964.8619995,968.5817871,971.5834961,864.8190308,862.9697266,857.9820557,863.2921143,857.5525513,859.0883179,858.4190674,955.1455078,954.5802612,955.6812744,955.1981812,955.3307495,950.7701416,954.9048462,904.6842651,903.9168701,908.5241089,904.737793,906.7041016,905.6876831,905.2355347,983.4592896,984.8917236,978.2791138,979.796875,983.354126,981.6561279,981.8900757,870.741394,879.7797241,873.8857422,873.3825684,870.9015503,872.6918335,875.3347168,972.1017456,976.6484985,977.5627441,972.8151855,973.4068604,976.8143921,979.9225464
90,877.6849365,877.977356,875.3574829,880.5791626,885.046814,881.505249,883.2985229,961.7655029,964.3185425,967.5579224,964.2879639,967.2775879,966.6811523,962.5842896,872.3754272,873.0136719,872.5384521,871.5322266,875.4525757,882.9312744,882.5443726,955.3093262,955.2630005,953.6444702,955.1785278,954.5569458,952.6567383,950.1921387,883.6820068,882.1569214,879.5266113,888.2017212,882.8344116,884.2975464,881.1530762,967.4465332,966.7201538,966.7878418,969.8366699,965.4549561,967.6503296,969.9088135,879.0402222,882.6486816,877.6482544,882.3948975,876.807373,879.0401001,882.2942505,962.9429932,963.6599121,968.5360718,967.3981323,967.9061279,968.2592773,967.4719238,888.2848511,885.3900146,884.2497559,883.6725464,884.4255371,880.5969849,880.3633423,964.6463013,967.2865601,968.9172363,964.9716797,966.6303101,969.3228149,971.4703979,854.7593994,859.8024902,861.2305908,856.3371582,854.1948853,855.7987061,857.8485107,942.1914063,935.9993896,940.9525757,943.0189819,939.4853516,937.5692749,942.4558716,875.5995483,876.5587769,875.2469482,875.9249878,875.6252441,872.7814941,873.5241089,952.2169189,949.5762329,951.3255615,954.6682739,950.8685303,954.3699341,953.2866211,847.4335327,854.9055786,851.0618896,846.6275635,848.6668701,847.6807861,844.1306763,939.4586792,943.2130127,942.1157227,943.480835,938.687439,936.4658203,939.5197144,894.4118652,896.8766479,893.4498291,898.0491943,894.9869385,900.2458496,896.2850952,970.4118652,970.6942749,975.5988159,965.1296997,969.9115601,968.3237305,964.7845459,860.4988403,863.5699463,858.8076172,859.7305908,857.4362183,867.2686768,859.3964844,965.880127,966.0852051,962.2804565,958.0985718,962.1693726,961.7939453,965.7541504
81,888.6119385,884.835022,882.2412109,886.0059204,894.2241821,894.9099121,891.5274048,978.9863892,978.4041138,980.8190308,979.6063232,982.427063,978.0032959,978.7574463,886.3536377,889.6532593,883.5800781,882.2166748,887.5623169,895.4968872,886.0463257,976.9223633,967.0084839,969.5259399,968.1408081,970.9204712,966.725769,974.4068604,896.6084595,895.9135742,895.3226929,900.081665,896.5527954,895.3087158,900.3952026,986.8017578,982.0994873,982.2306519,979.350647,981.8690796,978.1146851,979.5829468,898.1412354,891.7868652,894.4936523,893.4763794,899.9262085,891.7631226,891.7401733,983.3109131,985.3272095,982.6312866,978.7503052,980.246582,982.1182861,982.7918701,898.4627686,891.7296753,895.8171387,897.807373,895.3999634,896.0568848,896.8152466,976.5195313,983.0349731,982.5562744,978.4542847,986.1638184,986.6417847,977.6543579,865.6744385,869.6602173,867.0219727,870.043457,869.3554077,864.8046265,864.1821289,952.7246704,955.2980957,955.0469971,953.8218994,954.2856445,957.2689819,955.5858765,888.4797974,887.034729,887.2606812,882.2133179,887.4522705,883.3146973,884.3369141,965.8634033,969.4049072,970.1439209,964.6989746,973.8962402,966.8972778,964.6444092,858.7850342,857.6856079,854.8203735,858.6011353,857.4649048,853.8848267,857.3790894,953.5262451,960.8886719,954.539856,957.0918579,951.7651978,951.9072876,952.4208984,906.1589355,907.2383423,906.3591309,903.1884155,909.6282959,907.0697021,905.4204712,981.3887939,982.1393433,980.1791382,981.026001,983.9860229,984.1898193,981.090332,869.34729,869.8218384,869.1101074,873.7316895,869.3652954,874.4117432,871.0531616,978.5134888,977.5910034,972.7650146,973.6907959,977.4179077,972.9110107,974.4473267
84,891.3618774,889.2787476,886.4028931,898.6964722,896.0230103,899.986145,891.8952637,980.5338745,984.6995239,982.7572632,981.4301147,984.7686157,977.7590942,980.5639038,884.7613525,886.1243896,883.9987183,886.9921875,888.8427734,888.616394,893.3974609,975.9898071,970.1664429,970.1112061,972.4278564,966.8983765,966.4907227,966.675293,899.1038208,896.9830933,895.0810547,897.406311,898.3530884,895.4883423,897.296875,987.6126099,981.2862549,981.4074707,977.0997314,985.5834961,982.8536987,981.7253418,894.1386719,894.5488892,897.1829834,894.3922119,897.5402832,892.0400391,894.0819702,981.4072876,985.953186,984.4957886,980.9761963,981.6569214,982.6257935,980.2121582,898.2880249,899.5125122,899.4130249,898.0702515,897.0275269,897.7693481,897.2276611,981.0962524,982.8800659,981.0825195,984.1697998,983.2799683,984.7696533,980.0527954,872.258667,870.3643799,866.3252563,872.8701172,865.2839355,872.1938477,872.2744141,953.925354,957.0267944,953.3094482,956.4095459,952.6824341,955.5500488,957.0522461,892.7466431,891.6264038,891.2664795,888.2444458,891.743103,892.5740967,890.0091553,967.7260742,972.0903931,969.1738892,964.0272217,966.8323975,971.7432251,966.6691895,860.4541626,864.4629517,862.8770142,859.711853,858.9865723,858.5032959,862.1276855,958.0734863,959.2525024,959.0098267,959.1641235,958.5856323,959.4511108,955.8134766,906.449585,912.1690674,906.1696167,911.7985229,908.5345459,907.3387451,907.6878662,984.0921021,983.3427124,980.5958862,983.755188,985.3883057,986.0874023,981.8245239,884.2662354,876.1241455,870.9263916,875.3019409,869.8406982,872.8902588,877.9994507,977.774292,983.5842896,978.4191895,981.6679077,977.6173706,973.5145264,978.242981
92,870.6467896,868.3300781,864.1143188,872.1237793,869.4509888,875.2139282,873.4354248,956.7858887,958.2035522,957.5828247,956.5947266,955.8067627,952.3816528,958.8173218,865.3285522,861.1972046,852.9906006,865.9303589,863.3487549,868.6248169,867.854187,944.84198,942.7607422,942.4912109,942.4378662,943.7810669,942.9058228,943.0192871,874.7199097,872.2542725,873.5255127,873.0067749,877.0498047,870.9929199,876.5209351,957.8790283,958.87146,960.0031128,960.3997803,958.868042,951.8972168,955.9919434,874.9070435,875.1930542,869.6692505,869.4138184,869.1164551,871.2780151,866.4243774,955.7965698,957.2193604,958.901123,955.6146851,958.8574829,959.5709839,952.9417114,876.802124,875.5046997,876.451416,873.4969482,873.8477783,873.9185791,874.7366943,954.2276611,955.09021,955.5438843,956.0483398,953.6713867,958.3803101,956.0409546,848.0263062,848.3349609,846.6643677,847.526123,843.7145386,843.3179932,841.0180664,930.4627075,930.3100586,929.859314,930.8518066,934.6609497,931.0430908,928.989502,870.8668213,863.3498535,862.6144409,864.6704712,865.4677734,862.2713623,863.5205078,942.5143433,940.5593262,945.4718018,944.083252,940.0612793,942.2235107,945.4708862,839.2166748,840.6506958,838.7985229,841.9821777,835.8759766,836.5626831,840.6261597,932.0975952,932.0692749,931.5794067,925.8978882,934.1305542,931.6529541,931.8831177,883.3687134,885.5722046,889.4674683,883.3447876,884.5446167,880.0908813,887.3987427,956.0424194,962.0132446,957.9559937,959.3235474,960.1809082,957.117981,959.8585205,847.2769165,854.6584473,851.6227417,853.8632202,851.5283203,855.3430176,850.2015381,951.0099487,953.6405029,955.4869385,951.1791992,951.8838501,952.6213989,954.0707397
106,719.2734375,718.6935425,719.6317749,720.999939,721.2327271,717.4312744,722.0379028,790.0836792,790.2266235,794.1622314,792.6530762,793.225708,789.7244873,791.6575928,715.8043213,713.5148926,709.9990845,719.3722534,715.3847046,723.0478516,720.1395264,781.5783081,780.3032227,778.7108765,779.7310181,782.8655396,781.8946533,777.9042358,726.4237061,725.0241699,728.1957397,725.3573608,725.4248047,722.8231201,727.4130859,792.1121826,793.7337646,792.7493286,793.633728,792.1629639,789.9414063,790.8477173,721.1209106,721.597168,718.5628052,720.3400269,721.4163818,724.5181274,719.2897949,791.5881348,791.4870605,790.4212036,791.4899292,789.2872314,793.0021362,784.9542236,727.3932495,723.2220459,725.3892212,724.4587402,722.9909058,720.4914551,722.8044434,794.3353882,790.7773438,795.2804565,793.3685303,794.3533936,790.8069458,792.7421265,706.3153687,702.7947388,699.6854858,703.8285522,707.3450928,698.302063,702.7269897,767.6825562,767.5411377,767.4737549,770.7126465,772.7371826,768.8322754,767.3190308,716.473877,717.9988403,716.4784546,719.3189087,716.4172363,714.2745972,716.1613159,776.744751,779.9870605,781.8952637,783.0455933,779.1591187,783.2526855,777.9389038,694.0294189,695.4995117,691.694458,694.0389404,692.7282715,696.1103516,698.3175049,769.6288452,766.9266357,771.921875,770.8013916,770.590332,765.5713501,772.7134399,732.8739624,728.5738525,731.8687134,732.8007202,733.7268677,736.1486206,733.4542236,793.3743896,791.7863159,795.7296753,792.3609619,789.8526001,791.0498657,791.2748413,704.8447876,705.6333008,704.901001,702.4724731,703.5827637,705.4365845,711.5350952,789.6245728,790.8243408,791.1074219,788.1130371,787.4793701,788.1916504,786.1098022
94,855.5371094,856.1412964,849.5795898,856.6087036,856.7359009,857.2689819,857.6008301,942.0078125,941.9765625,942.0307617,938.1703491,942.1513062,943.7508545,941.5822754,852.0939331,849.0586548,840.5426025,850.68396,851.0654297,856.9509277,854.460022,931.1293945,930.1603394,922.6401978,927.4842529,924.6011353,929.1506958,928.0872803,860.9115601,863.2996216,862.428833,856.7646484,863.8547974,865.2811279,860.5874634,944.0618286,943.4420776,941.4494019,937.2875366,940.3153687,947.5183716,941.4269409,854.4636841,856.7520142,854.6439209,854.4213867,852.4662476,857.4078369,851.0480957,939.1609497,944.9142456,937.7634888,937.3392334,936.8815918,940.6525879,938.8088989,861.1853638,861.8938599,858.7367554,861.3380737,862.4902344,863.8163452,859.9682007,936.0737305,943.8202515,943.2745972,943.364624,940.916687,942.1016235,938.5811157,832.2998657,837.7352295,830.409729,832.9165039,833.6246948,834.3023071,831.2148438,913.2425537,912.5628662,915.0189819,912.5187988,918.8773804,914.4387207,916.7339478,851.3673096,854.1828613,852.8596191,851.9440308,853.8602295,852.892395,852.4638672,919.7250977,932.0471802,929.4666138,934.560791,934.2331543,929.8735962,932.6611328,827.1501465,829.8511963,822.4675293,821.8554077,825.213562,826.4191284,828.3709717,917.1350098,919.3149414,913.2172852,914.9414063,916.6947021,915.7745972,915.7536621,869.7251587,869.9350586,870.3845215,868.4702759,873.1931152,871.0744629,870.772522,945.9902954,942.0835571,943.9574585,943.9441528,941.0133057,944.7258911,946.3197632,841.8870239,837.897583,838.9018555,840.3181763,840.5283203,840.0570679,837.3746338,940.0430908,937.9150391,938.5842896,937.7872925,930.7265625,935.1843262,940.7028809
89,884.9567261,879.9801636,881.6826172,884.9051514,886.5118408,884.5293579,885.1484985,968.6207275,971.0384521,967.8706665,970.8083496,975.3925171,976.2579346,973.7597656,881.2879639,878.1124268,875.3780518,873.9783325,877.7772827,879.6890869,880.0372314,963.2462158,956.7166748,958.5147095,958.1426392,964.47052,958.8410034,957.7124023,892.1051636,888.7758789,890.7144775,889.8199463,890.5681152,893.3245239,886.7921753,968.7529907,971.7839966,971.8789673,967.2914429,974.4656982,968.6055298,973.9391479,894.7402344,882.9346924,890.4177246,886.281189,882.1263428,884.6507568,880.8088379,970.119812,979.9801636,972.3914185,969.1986084,971.6098633,968.5228882,971.8682251,889.321106,886.4036255,888.6849976,894.4384766,887.1379395,890.6717529,889.1569214,974.0612793,973.7817993,975.0559692,970.34552,970.8282471,979.6902466,971.0703735,864.6829224,862.8227539,859.6434326,858.8770752,861.2105713,862.1738892,858.895752,944.4041138,946.3439331,941.8331909,944.1015625,943.7790527,939.9284668,949.171875,884.2843628,882.4263916,883.0018921,878.9772339,882.9490967,882.4996338,875.4246826,957.1569214,957.4784546,950.5358276,958.8909912,959.4503784,961.7612915,960.6248779,852.3709717,854.0519409,852.5504761,852.9778442,855.3377686,850.9413452,850.678772,944.5723267,947.22229,945.6790161,942.4173584,944.9163818,938.7235107,943.1279907,897.0236816,901.3616333,899.319397,898.6218262,900.0795288,895.796936,898.0752563,978.4647217,971.7036743,971.6607056,971.1484985,973.078186,973.7874146,973.3164063,863.7576294,864.7014771,865.5415039,866.1348877,869.6447754,867.2039795,868.4678345,973.9956055,970.0184937,970.1618042,968.1989136,966.2238159,967.2771606,966.4389038
100,794.1030273,793.2036743,799.003418,800.8044434,796.3322144,796.09552,800.8062744,876.5455933,877.8262939,873.9524536,878.5023804,876.6575928,874.8740234,875.1726685,795.9353027,789.7423706,787.1079102,793.1973877,798.5733643,796.5404663,795.0483398,867.0623779,864.2618408,865.3097534,863.0098877,865.7248535,869.1572266,860.9933472,801.1147461,802.1859741,802.7252197,802.4801025,801.7289429,802.7521973,804.3885498,875.3154297,877.0109863,879.0560913,878.1991577,873.8591919,875.1297607,875.1072998,797.7134399,794.9870605,793.1711426,799.8109131,795.4829102,800.5753174,794.0808105,875.4267578,873.0819092,874.4953003,874.3447876,876.7802124,878.5922852,877.8049316,804.8822632,804.3218384,802.1793213,801.7677002,799.7631836,798.8428345,801.2553711,876.6775513,876.6470947,877.1251221,880.5356445,880.2197266,877.1583252,879.3484497,776.8330078,776.9139404,774.5377808,779.0944214,774.3270874,774.9777832,772.2495728,849.4229126,850.7989502,853.3608398,850.1691284,852.3366699,848.6663818,851.5845947,791.5611572,791.5301514,792.2199097,795.2199707,791.5735474,786.7567139,795.2733154,861.5787354,864.0267944,866.1494751,868.1749268,868.5112305,862.4580688,866.4779053,771.3511963,766.9353027,764.5007324,764.4960327,768.527832,766.6759644,766.3340454,858.1807251,856.9515381,852.2267456,849.414917,853.7991333,850.6570435,854.880249,808.3202515,810.8867798,809.1560059,809.3383179,812.4187622,810.4606323,807.5545654,875.6832275,879.0013428,877.2164307,874.6745605,876.9717407,877.5982666,877.2589722,781.1856079,779.0725708,779.4758911,779.1577148,777.5465088,785.9469604,783.3956299,871.0134888,874.2615967,872.3180542,869.2523804,877.2437744,873.5506592,872.3463745
83,897.2711182,892.0333252,889.1893311,891.119873,896.1610107,893.8481445,895.5672607,983.8162231,981.9813843,978.7784424,987.7441406,979.0955811,978.5349121,978.0315552,892.4647217,887.298584,881.4545288,883.5059204,891.1122437,894.1040039,894.5256958,973.4419556,971.2062378,967.2532349,972.4794922,968.5610962,974.3197021,970.5670166,894.8295288,901.1074219,898.1930542,896.0297852,899.8877563,899.2712402,898.7751465,977.5471802,981.1954346,982.1417236,978.7329712,981.4052734,977.843689,983.8139648,898.0569458,897.7766113,896.9443359,896.9271851,894.8255005,893.9296875,894.182251,983.5592651,987.3545532,981.4586792,978.8267212,983.2141113,987.8717651,984.6268921,903.0685425,900.3889771,894.7545776,899.4048462,899.7312622,900.4055786,896.1801147,978.8413696,985.7473755,984.0488892,978.8060303,983.710083,982.2098999,979.1791992,873.2230835,871.5592041,868.6801147,870.4412231,866.7280884,870.4316406,866.0892334,951.9232788,954.6975098,954.0796509,951.4935913,952.6359863,956.477417,951.2367554,887.8318481,888.9933472,887.946106,886.8222656,893.041626,890.901062,886.6644897,970.2216187,965.8493042,968.4310913,972.3416138,968.3268433,973.9226074,968.1965942,859.5233765,860.8867188,858.6125488,865.8146362,858.7653809,856.1051025,861.1873779,955.9873657,959.0332031,957.8044434,957.4921265,955.4120483,956.5897217,955.164978,907.6094971,910.5440063,905.0839233,909.5387573,905.986084,908.1564941,907.1837158,984.3604736,986.4943237,981.2618408,983.4412231,983.8566895,982.3951416,981.8167725,874.2386475,876.8840332,875.2608643,876.5053101,873.8306885,877.0244751,872.5354614,976.0911255,982.5877075,978.1531982,977.7957153,984.1342773,974.3952637,975.2067261
